,Article,Entr.,Description,Qty in Hand,Qty Sold
0,77264,801,PAIN BURGER LARGE POM,290,24
1,77264,1447,PAIN BURGER LARGE POM,411,50
2,77264,,Total Article:,,74
3,77318,801,PAIN HOTDOG LARGE POM,76,11
4,77318,1447,PAIN HOTDOG LARGE POM,8,17
5,77318,,Total Article:,,28
6,132639,801,POM PAINS HOT DOG,217,49
7,132639,1447,POM PAINS HOT DOG,503,81
8,132639,,Total Article:,,130
9,239330,801,BIG DADDY BISCUIT AVOINE,502,30
10,239330,1447,BIG DADDY BISCUIT AVOINE,1438,11
11,239330,,Total Article:,,41
12,350782,801,PAIN HOTDOG PETIT POM TS,266,6
13,350782,1447,PAIN HOTDOG PETIT POM TS,508,10
14,350782,,Total Article:,,16
15,647229,801,POM ENRICHI BLANC 3 675 G,261,73
16,647229,1447,POM ENRICHI BLANC 3 675 G,245,87
17,647229,,Total Article:,,160
18,647249,801,POM 100: BL ENTIER 3 675,127,30
19,647249,1447,POM 100: BL ENTIER 3 675,191,33
20,647249,,Total Article:,,63
21,863669,801,VILLAGGIO BLANC 2X675G,333,30
22,863669,1447,VTTTAGGIO RIANC 2X675G,154,63
23,863669,,Total Article:,,93
24,863899,801,VILLAGGIO BI 2 675 G,87,21
25,863899,1447,VILLAGGIO BI 2 675 G,127,40
26,863899,,Total Article:,,61
27,1128519,801,BIG DADDY BISCUIT MORCEAU,434,87
28,1128519,1447,BIG DADDY BISCUIT MORCEAU,1240,31
29,1128519,,Total Article:,,118
30,1141522,801,BON MATIN 14 CEREALES,70,8
31,1141522,,Total Article:,,8
32,1219086,801, POM 10PO TORTILLAS ORG.,222,29
33,1219086,1447,POM 10PO TORTILLAS ORG.,228,36
34,1219086,,Total Article:,,65
35,1261209,801,HOSTESS TWINKIES GATEAU,306,15
36,1261209,,Total Article:,,15
37,1261211,801,HOSTESS CUPCAKES 6X80G,747,4
38,1261211,1447,HOSTESS CUPCAKES 6X80G,613,4
39,1261211,,Total Article:,,8
40,1299439,801,VACHON SUPER PASSION,201,6
41,1299439,1447,VACHON SUPER PASSION,179,6
42,1299439,,Total Article:,,12
43,1299440,801,VACHON SUPER JOS LOUIS,178,27
44,1299440,,Total Article:,,27
45,1310242,801,RON MATIN 12GRATN,18,6
46,1310242,1447,BON MATIN 12GRAIN,80,6
47,1310242,,Total Article:,,12
48,1318209,801,VACHON AH CARAMEL! SUPER,209,16
49,1318209,1447,VACHON AH CARAMEL! SUPER,195,1
50,1318209,,Total Article:,,17
51,1318210,801,VACHON BROWNIE MEGA AVEC,767,6
52,1318210,1447,VACHON BROWNIE MEGA AVEC,112,5
53,1318210,,Total Article:,,11
54,1396661,801,SUNMAID PAIN AUX RAISINS,37,8
55,1396661,1447,SUNMAID PAIN AUX RAISINS,100,11
56,1396661,,Total Article:,,19
57,1481722,801,BIG DADDY BISCUIT DOUBLE,265,47
58,1481722,1447,BIG DADDY BISCUIT DOUBLE,534,17
59,1481722,,Total Article:,,64
60,1492073,801,POM PAIN HAMBURGER,256,45
61,1492073,1447,POM PAIN HAMBURGER,259,59
62,1492073,,Total Article:,,104
63,1635979,801,BIG DADDY BISCUIT A,210,26
64,1635979,1447,BIG DADDY BISCUIT A,89,17
65,1635979,,Total Article:,,43
66,1697614,801,BON MATIN PAIN SEIGLE,179,15
67,1697614,1447,BON MATIN PAIN SEIGLE,155,13
68,1697614,,Total Article:,,28
